SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2009,41.30291,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2009,50.32,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2009,40.72,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2009,41.01,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2011,60.40226,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2011,63.03072,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2011,61.76096,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2012,54.48,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2012,52.6,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2012,42.9451,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2012,33.22,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2012,54.75641,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2012,55.03,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2015,58.71644,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2015,79.67441,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2015,79.02236,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2015,80.36014,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2016,98.09229,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2016,98.46843,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2016,97.73644,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2018,29.33509,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2018,50.94751,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2018,50.89998,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2018,50.8497,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2018,42.66023,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2018,35.81029,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2019,70.52626,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2019,71.21622,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2019,70.81778,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2021,93.71487,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2021,90.69796,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2021,87.63803,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2022,30.08,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2022,50.42,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2022,51.06,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2022,49.81,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2022,42.76,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2022,36.28,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2023,56.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2003,26.94505,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2003,25.03889,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2003,29.47258,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2007,41.5331,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2007,32.94093,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2007,36.49661,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2011,37.729,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2011,34.54276,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2011,41.60324,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2015,35.7041,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2015,34.05804,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2015,34.78746,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2015,29.62933,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2015,27.86157,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2015,31.16547,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2018,35.81368,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2018,28.05637,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2018,32.23049,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,BOTHSEX,PERCENT,2019,26.78791,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,FEMALE,PERCENT,2019,26.23354,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Lebanon,LOWSEC,C,MALE,PERCENT,2019,27.37192,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2009,40.67198,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2009,56.03299,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2012,48.24566,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2012,47.27839,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2015,62.75743,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2018,54.1672,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2018,58.50222,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,MALE,PERCENT,2018,56.44509,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,FEMALE,PERCENT,2018,60.45583,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,MALE,PERCENT,2018,46.92655,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,FEMALE,PERCENT,2018,61.04351,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,BOTHSEX,PERCENT,2019,58.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,MALE,PERCENT,2019,50.4,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,BOTHSEX,PERCENT,2019,64.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,MALE,PERCENT,2019,60.8,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,FEMALE,PERCENT,2019,67.8,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,PRIMAR,C,FEMALE,PERCENT,2019,65.9,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,FEMALE,PERCENT,2022,49.87,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,BOTHSEX,PERCENT,2022,41.88,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,MALE,PERCENT,2022,33.85,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Malaysia,LOWSEC,C,FEMALE,PERCENT,2022,44.54,1
